url,status
http://4169e1.com/q,phishing
http://expendablesearch.com/search.php?q=joint+infection,phishing
http://lightforcefinder.com/search.php?q=medical+symptoms+checker,phishing
https://outlook.office.com/,legitimate
https://www.pexels.com/search/website/,legitimate
http://tzsverjrzduo52siy.,phishing
https://www.google.com/,legitimate
http://citeceramica.com/,phishing
https://login.yahoo.com/?.src=ym&lang=en-US&done=https%3A%2F%2Fin.mail.yahoo.com%2F%3Fguce_referrer%3DaHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8%26guce_referrer_sig%3DAQAAAEjxfFfCNQdJaVJDycdQYzuOumwXAqBC9DGC4rsuYVUeSA3pM-2ZkyVcVgFBNMkD-eXwKlzLlvv-khaYT1FrfH8ym00rcjUovGkUiMSoq9QjAqfscF6ShahjexpFDLukNOMpWyPCxgBEntVf6XhTGgzV4du1EEzOVkvEpgPLkPnH,legitimate
https://jpinfotech.org/,legitimate
http://vitahaus.com.br/wp-admin/css/colors/blue/Dropbox/main.html,phishing
http://www.budgetbots.com/server.php/Server%20update/index.php?email=USER@DOMAIN.com,phishing
